School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
DES MOINES ELEMENTARY	2015-16	59	71.2%	0%	25.4%	3.4%	0%	3.4%	0%	0%	78%	78%	96.6%	98.3%	94.9%	98.3%	42	0	15	2	0	2	0	0	13	13	2	1	3	1	Y	PUBLIC SCHOOL	HIGHLINE SCHOOL DISTRICT	22001 9TH AVE S	DES MOINES	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
DESERT HILLS MIDDLE SCHOOL	2015-16	318	96.9%	0.6%	0%	2.5%	0.9%	1.6%	0%	0%	98.7%	98.7%	99.4%	99.4%	98.7%	97.8%	308	2	0	8	3	5	0	0	4	4	2	2	4	7	Y	PUBLIC SCHOOL	KENNEWICK SCHOOL DISTRICT	6011 WEST 10TH PLACE	KENNEWICK	BENTON	EDUCATIONAL SERVICE DISTRICT 123	6-8	N	Y
DESTINY MIDDLE SCHOOL CHARTER	2015-16	178	89.3%	0%	7.9%	2.8%	0%	1.7%	1.1%	0%	93.8%	93.8%	98.9%	98.3%	98.3%	97.8%	159	0	14	5	0	3	2	0	11	11	2	3	3	4	Y	CHARTER SCHOOL	TACOMA SCHOOL DISTRICT	1301 E 34TH S	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6	N	Y
DIMMITT MIDDLE SCHOOL	2015-16	323	93.8%	1.9%	3.1%	1.2%	0%	1.2%	0%	0%	94.1%	94.7%	98.5%	98.5%	98.5%	98.5%	303	6	10	4	0	4	0	0	19	17	5	5	5	5	Y	PUBLIC SCHOOL	RENTON SCHOOL DISTRICT	12320 80TH AVE S	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
DISCOVERY LAB SCHOOL	2015-16	29	82.8%	3.4%	3.4%	10.3%	6.9%	3.4%	0%	0%	89.7%	89.7%	96.6%	93.1%	93.1%	100%	24	1	1	3	2	1	0	0	3	3	1	2	2	0	Y	PUBLIC SCHOOL	YAKIMA SCHOOL DISTRICT	2810 CASTLEVALE RD	YAKIMA	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	1-8	N	Y
DISCOVERY MIDDLE SCHOOL	2015-16	187	42.8%	0%	51.3%	5.9%	1.1%	4.8%	0%	0%	46.5%	47.6%	94.1%	95.7%	94.1%	92.5%	80	0	96	11	2	9	0	0	100	98	11	8	11	14	Y	PUBLIC SCHOOL	VANCOUVER SCHOOL DISTRICT	800 E 40TH ST	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
DISCOVERY MONTESSORI	2015-16	1	0%	0%	0%	100%	0%	0%	0%	100%	0%	0%	0%	0%	0%	0%	0	0	0	1	0	0	0	1	1	1	1	1	1	1	Y	PRIVATE SCHOOL	SOUTH KITSAP SCHOOL DISTRICT	1026 SIDNEY AVE  #160	PORT ORCHARD	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	P-8	Y	Y
DOLAN ACADEMY & LEARNING CENTER	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	NORTHSHORE SCHOOL DISTRICT	18500 156TH AVE NE	WOODINVILLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
DRUM INTERMEDIATE	2015-16	209	94.7%	0.5%	0.5%	4.3%	1%	2.4%	0.5%	0.5%	97.6%	98.1%	97.1%	97.1%	99.5%	96.2%	198	1	1	9	2	5	1	1	5	4	6	6	1	8	Y	PUBLIC SCHOOL	UNIVERSITY PLACE SCHOOL DISTRICT	4909 79TH AVENUE W	UNIVERSITY PLACE	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	5-7	N	Y
DRY CREEK ELEMENTARY	2015-16	53	75.5%	0%	20.8%	3.8%	0%	3.8%	0%	0%	77.4%	77.4%	98.1%	98.1%	96.2%	96.2%	40	0	11	2	0	2	0	0	12	12	1	1	2	2	Y	PUBLIC SCHOOL	PORT ANGELES SCHOOL DISTRICT	25 RIFE RD	PORT ANGELES	CLALLAM	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -6	Y	Y
DUTCH HILL ELEMENTARY	2015-16	70	71.4%	0%	11.4%	17.1%	0%	15.7%	1.4%	0%	80%	82.9%	88.6%	85.7%	87.1%	88.6%	50	0	8	12	0	11	1	0	14	12	8	10	9	8	Y	PUBLIC SCHOOL	SNOHOMISH SCHOOL DISTRICT	8231 131ST AVENUE SE	SNOHOMISH	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
EAGLE HIGH SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	TOPPENISH SCHOOL DISTRICT	143 WARD RD	TOPPENISH	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	6-12	N	Y
EAGLE PARK SCHOOL	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	1025 W SPOFFORD AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	3-12	N	Y
EAGLE VIEW CHRISTIAN SCHOOL	2015-16	11	36.4%	54.5%	0%	9.1%	0%	9.1%	0%	0%	36.4%	90.9%	90.9%	90.9%	100%	90.9%	4	6	0	1	0	1	0	0	7	1	1	1	0	1	Y	PRIVATE SCHOOL	YELM SCHOOL DISTRICT	13036 MORRIS RD SE	YELM	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	P-12	Y	Y
EAGLERIDGE ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	FERNDALE SCHOOL DISTRICT	2651 THORNTON RD	FERNDALE	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	PK-6	Y	Y
EAST FARMS SCHOOL	2015-16	62	79%	0%	12.9%	8.1%	1.6%	6.5%	0%	0%	80.6%	80.6%	93.5%	91.9%	91.9%	91.9%	49	0	8	5	1	4	0	0	12	12	4	5	5	5	Y	PUBLIC SCHOOL	EAST VALLEY SCHOOL DISTRICT (SPOKANE)	26203 E ROWAN	NEWMAN LAKE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-7	Y	Y
EAST HILL ELEMENTARY SCHOOL	2015-16	77	70.1%	0%	29.9%	0%	0%	0%	0%	0%	70.1%	70.1%	97.4%	97.4%	97.4%	97.4%	54	0	23	0	0	0	0	0	23	23	2	2	2	2	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	9825 S 240TH ST	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
EAST OLYMPIA ELEMENTARY	2015-16	84	85.7%	0%	10.7%	3.6%	0%	3.6%	0%	0%	88.1%	88.1%	97.6%	98.8%	98.8%	98.8%	72	0	9	3	0	3	0	0	10	10	2	1	1	1	Y	PUBLIC SCHOOL	TUMWATER SCHOOL DISTRICT	8700 RICH ROAD	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
EAST PORT ORCHARD ELEMENTARY	2015-16	68	91.2%	1.5%	0%	7.4%	2.9%	4.4%	0%	0%	92.6%	92.6%	98.5%	98.5%	97.1%	95.6%	62	1	0	5	2	3	0	0	5	5	1	1	2	3	Y	PUBLIC SCHOOL	SOUTH KITSAP SCHOOL DISTRICT	1964 HOOVER AVE SE	PORT ORCHARD	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -6	Y	Y
EAST RIDGE ELEMENTARY	2015-16	51	98%	0%	2%	0%	0%	0%	0%	0%	98%	98%	100%	100%	100%	100%	50	0	1	0	0	0	0	0	1	1	0	0	0	0	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	22150 NE 156 PL	WOODINVILLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
EAST VALLEY CENTRAL MIDDLE SCHOOL	2015-16	241	96.3%	0%	0%	3.7%	0.8%	3.3%	0%	0%	98.3%	98.3%	97.9%	98.3%	98.8%	97.1%	232	0	0	9	2	8	0	0	4	4	5	4	3	7	Y	PUBLIC SCHOOL	EAST VALLEY SCHOOL DISTRICT (YAKIMA)	2010 BEAUDRY RD	YAKIMA	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	6-8	N	Y
EAST VALLEY MIDDLE SCHOOL	2015-16	4	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	EAST VALLEY SCHOOL DISTRICT (SPOKANE)	4920 N PROGRESS RD	SPOKANE VALLEY	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
EASTON SCHOOL	2015-16	14	57.1%	42.9%	0%	0%	0%	0%	0%	0%	64.3%	64.3%	100%	100%	92.9%	92.9%	8	6	0	0	0	0	0	0	5	5	0	0	1	1	Y	PUBLIC SCHOOL	EASTON SCHOOL DISTRICT	P O BOX 8	EASTON	KITTITAS	EDUCATIONAL SERVICE DISTRICT 105	K -12	Y	Y
EASTSIDE CATHOLIC SCHOOL	2015-16	84	92.9%	2.4%	0%	4.8%	0%	4.8%	0%	0%	92.9%	92.9%	97.6%	97.6%	95.2%	96.4%	78	2	0	4	0	4	0	0	6	6	2	2	4	3	Y	PRIVATE SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	232 228TH AVE SE	SAMMAMISH	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
EASTSIDE CHRISTIAN SCHOOL	2015-16	24	12.5%	0%	83.3%	4.2%	4.2%	0%	0%	0%	25%	25%	95.8%	100%	100%	91.7%	3	0	20	1	1	0	0	0	18	18	1	0	0	2	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	14615 SE 22ND ST	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
EASTSIDE LEARNING COMMUNITY	2015-16																														N	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	12443 BEL-RED RD  STE 380	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
EASTSIDE PREPARATORY SCHOOL	2015-16	54	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	54	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	10635 NE 38TH PL	KIRKLAND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	5-12	N	Y
EATON ARROWSMITH ACADEMY	2015-16	3	33.3%	66.7%	0%	0%	0%	0%	0%	0%	33.3%	33.3%	100%	100%	100%	100%	1	2	0	0	0	0	0	0	2	2	0	0	0	0	Y	PRIVATE SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	17946 65TH ST	REDMOND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
EATONVILLE MIDDLE SCHOOL	2015-16	120	5%	0%	90%	5%	0.8%	4.2%	0%	0%	5%	6.7%	82.5%	84.2%	85%	82.5%	6	0	108	6	1	5	0	0	114	112	21	19	18	21	Y	PUBLIC SCHOOL	EATONVILLE SCHOOL DISTRICT	PO BOX 910	EATONVILLE	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
EBENEZER CHRISTIAN SCHOOL	2015-16	16	87.5%	0%	12.5%	0%	0%	0%	0%	0%	87.5%	87.5%	100%	100%	100%	100%	14	0	2	0	0	0	0	0	2	2	0	0	0	0	Y	PRIVATE SCHOOL	LYNDEN SCHOOL DISTRICT	9390 GUIDE MERIDIAN RD	LYNDEN	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
ECHO LAKE ELEMENTARY SCHOOL	2015-16	70	91.4%	0%	1.4%	7.1%	0%	7.1%	0%	0%	94.3%	97.1%	97.1%	95.7%	97.1%	95.7%	64	0	1	5	0	5	0	0	4	2	2	3	2	3	Y	PUBLIC SCHOOL	SHORELINE SCHOOL DISTRICT	19345 WALLINGFORD AVE. N.	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
ECKSTEIN MIDDLE SCHOOL	2015-16	303	83.5%	1%	9.6%	5.9%	2.6%	4%	0%	0%	90.1%	90.4%	97.4%	96.7%	97%	91.7%	253	3	29	18	8	12	0	0	30	29	8	10	9	25	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	3003 NE 75 ST	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
EDGERTON ELEMENTARY	2015-16	127	80.3%	0%	12.6%	7.1%	2.4%	4.7%	0%	0%	97.6%	82.7%	97.6%	97.6%	97.6%	95.3%	102	0	16	9	3	6	0	0	3	22	3	3	3	6	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	16528 127TH AVE CT E	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
EDISON ELEMENTARY	2015-16	60	83.3%	0%	11.7%	5%	0%	5%	0%	0%	85%	86.7%	95%	95%	93.3%	93.3%	50	0	7	3	0	3	0	0	9	8	3	3	4	4	Y	PUBLIC SCHOOL	BURLINGTON-EDISON SCHOOL DISTRICT	5801 MAIN ST	EDISON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K-6	Y	Y
EDMONDS ELEMENTARY	2015-16	44	97.7%	0%	0%	2.3%	2.3%	2.3%	0%	0%	97.7%	97.7%	100%	100%	100%	100%	43	0	0	1	1	1	0	0	1	1	0	0	0	0	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	1215 OLYMPIC AVENUE	EDMONDS	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
EDMONDS HEIGHTS K-12	2015-16	48	35.4%	0%	37.5%	27.1%	0%	27.1%	2.1%	0%	39.6%	41.7%	85.4%	85.4%	79.2%	81.3%	17	0	18	13	0	13	1	0	29	28	7	7	10	9	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	23200 100TH AVE W	EDMONDS	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -12	Y	Y
EISENHOWER MIDDLE SCHOOL	2015-16	283	76%	0%	19.1%	4.9%	0.7%	4.9%	0.4%	0%	96.5%	79.2%	95.8%	96.5%	96.5%	94.7%	215	0	54	14	2	14	1	0	10	59	12	10	10	15	Y	PUBLIC SCHOOL	EVERETT SCHOOL DISTRICT	10200 25TH AVE. SE	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
ELK PLAIN SCHOOL OF CHOICE	2015-16	75	88%	0%	4%	8%	4%	4%	0%	0%	94.7%	94.7%	100%	100%	98.7%	94.7%	66	0	3	6	3	3	0	0	4	4	0	0	1	4	Y	PUBLIC SCHOOL	BETHEL SCHOOL DISTRICT	22015 22ND AVE E	SPANAWAY	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
ELLENSBURG CHRISTIAN SCHOOL	2015-16	7	85.7%	0%	0%	14.3%	0%	14.3%	0%	0%	85.7%	85.7%	85.7%	85.7%	85.7%	85.7%	6	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	ELLENSBURG SCHOOL DISTRICT	407 S ANDERSON ST	ELLENSBURG	KITTITAS	EDUCATIONAL SERVICE DISTRICT 105	K-8	Y	Y
ELMA MIDDLE SCHOOL	2015-16	80	90%	0%	7.5%	2.5%	0%	2.5%	0%	0%	91.3%	92.5%	98.8%	97.5%	98.8%	97.5%	72	0	6	2	0	2	0	0	7	6	1	2	1	2	Y	PUBLIC SCHOOL	ELMA SCHOOL DISTRICT	1235 MONTE-ELMA RD.	ELMA	GRAYS HARBOR	EDUCATIONAL SERVICE DISTRICT 113	6-8	N	Y
EMERALD CITY SCHOOL	2015-16	4	75%	25%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	75%	100%	3	1	0	0	0	0	0	0	0	0	0	0	1	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	520 DENNY WAY	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	1-6	N	Y
EMERALD HEIGHTS ACADEMY	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	3850 - 156TH AVE SE	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
EMERALD HEIGHTS ELEMENTARY	2015-16	109	98.2%	0%	0%	1.8%	0%	1.8%	0%	0%	98.2%	98.2%	99.1%	99.1%	99.1%	99.1%	107	0	0	2	0	2	0	0	2	2	1	1	1	1	Y	PUBLIC SCHOOL	CENTRAL KITSAP SCHOOL DISTRICT	1260 PINNACLE COURT	SILVERDALE	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	PK-6	Y	Y
EMERALD PARK ELEMENTARY SCHOOL	2015-16	70	90%	0%	10%	0%	0%	0%	0%	0%	90%	91.4%	100%	100%	100%	100%	63	0	7	0	0	0	0	0	7	6	0	0	0	0	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	11800 SE 216TH ST	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
EMERSON ELEMENTARY	2015-16	72	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	72	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	PASCO SCHOOL DISTRICT	1616 W OCTAVE ST	PASCO	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	K-6	Y	Y
EMERSON ELEMENTARY	2015-16	89	73%	0%	23.6%	3.4%	0%	3.4%	0%	0%	79.8%	79.8%	96.6%	98.9%	97.8%	92.1%	65	0	21	3	0	3	0	0	18	18	3	1	2	7	Y	PUBLIC SCHOOL	SNOHOMISH SCHOOL DISTRICT	1103 PINE STREET	SNOHOMISH	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	3-6	N	Y
EMERSON K-12 (FAMILY LEARNING CENTER)	2015-16	7	42.9%	0%	0%	57.1%	14.3%	28.6%	14.3%	0%	42.9%	42.9%	57.1%	57.1%	71.4%	57.1%	3	0	0	4	1	2	1	0	4	4	3	3	2	3	Y	PUBLIC SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	10903 NE 53RD STREET	KIRKLAND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -12	Y	Y
ENDEAVOR MIDDLE SCHOOL	2015-16	73	72.6%	0%	24.7%	2.7%	0%	2.7%	0%	0%	74%	74%	95.9%	95.9%	95.9%	94.5%	53	0	18	2	0	2	0	0	19	19	3	3	3	4	Y	PUBLIC SCHOOL	MOSES LAKE SCHOOL DISTRICT	6527 PATTON BLVD	MOSES LAKE	GRANT	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	6-8	N	Y
ENDICOTT/ST JOHN ELEM AND MIDDLE	2015-16	20	95%	0%	0%	5%	0%	5%	0%	0%	95%	95%	95%	95%	95%	95%	19	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PUBLIC SCHOOL	ENDICOTT SCHOOL DISTRICT	308 SCHOOL DR	ENDICOTT	WHITMAN	EDUCATIONAL SERVICE DISTRICT 101	K -8	Y	Y
ENTERPRISE MIDDLE SCHOOL	2015-16	408	90.2%	0.2%	7.1%	2.5%	0.2%	2.2%	0%	0%	92.6%	92.6%	100%	100%	100%	100%	368	1	29	10	1	9	0	0	30	30	0	0	0	0	Y	PUBLIC SCHOOL	RICHLAND SCHOOL DISTRICT	5200 PARADISE WAY	WEST RICHLAND	BENTON	EDUCATIONAL SERVICE DISTRICT 123	6-8	N	Y
ENTIAT MIDDLE AND HIGH SCHOOL	2015-16	22	54.5%	0%	45.5%	0%	0%	0%	0%	0%	54.5%	54.5%	100%	100%	100%	100%	12	0	10	0	0	0	0	0	10	10	0	0	0	0	Y	PUBLIC SCHOOL	ENTIAT SCHOOL DISTRICT	2650 ENTIAT WAY	ENTIAT	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	6-12	N	Y
ENUMCLAW MIDDLE SCHOOL	2015-16	144	85.4%	0%	9%	5.6%	1.4%	4.2%	0%	0%	87.5%	88.9%	97.9%	97.9%	97.2%	95.1%	123	0	13	8	2	6	0	0	18	16	3	3	4	7	Y	PUBLIC SCHOOL	ENUMCLAW SCHOOL DISTRICT	550 SEMANSKI STREET	ENUMCLAW	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
ENVIRONMENTAL AND ADVENTURE SCHOOL	2015-16	46	73.9%	0%	13%	13%	0%	13%	0%	0%	89.1%	91.3%	93.5%	95.7%	89.1%	87%	34	0	6	6	0	6	0	0	5	4	3	2	5	6	Y	PUBLIC SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	8040 NE 132ND	KIRKLAND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
ESQUIRE HILLS ELEMENTARY	2015-16	55	87.3%	0%	5.5%	7.3%	0%	7.3%	0%	0%	89.1%	89.1%	92.7%	90.9%	94.5%	92.7%	48	0	3	4	0	4	0	0	6	6	4	5	3	4	Y	PUBLIC SCHOOL	CENTRAL KITSAP SCHOOL DISTRICT	2650 NE JOHN CARLSON RD	BREMERTON	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	PK-6	Y	Y
ETON SCHOOL	2015-16	11	90.9%	9.1%	0%	0%	0%	0%	0%	0%	90.9%	90.9%	100%	100%	100%	100%	10	1	0	0	0	0	0	0	1	1	0	0	0	0	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	2701 BEL-RED RD	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
EVALINE ELEMENTARY SCHOOL	2015-16	4	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	EVALINE SCHOOL DISTRICT	111 SCHOOLHOUSE ROAD	WINLOCK	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
EVERETT CHRISTIAN SCHOOL	2015-16	6	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	6	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	EVERETT SCHOOL DISTRICT	2221 CEDAR ST	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
EVERGREEN ACADEMY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	NORTHSHORE SCHOOL DISTRICT	16017 118TH PL NE	BOTHELL	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-6	Y	Y
EVERGREEN ACADEMY OF ARTS & SCIENCES	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	CENTRALIA SCHOOL DISTRICT	506 S WASHINGTON AVE	CENTRALIA	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	P-6	Y	Y
EVERGREEN CHRISTIAN SCHOOL	2015-16	24	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	24	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	OLYMPIA SCHOOL DISTRICT	1010 BLACK LAKE BLVD SW	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	P-8	Y	Y
EVERGREEN ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	BETHEL SCHOOL DISTRICT	1311  172ND ST E	SPANAWAY	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
EVERGREEN ELEMENTARY SCHOOL	2015-16	70	85.7%	4.3%	0%	10%	2.9%	7.1%	0%	0%	91.4%	91.4%	95.7%	95.7%	97.1%	91.4%	60	3	0	7	2	5	0	0	6	6	3	3	2	6	Y	PUBLIC SCHOOL	SEDRO-WOOLLEY SCHOOL DISTRICT	1007 MCGARIGLE ROAD	SEDRO-WOOLLEY	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
EVERGREEN ELEMENTARY SCHOOL	2015-16	90	88.9%	0%	10%	1.1%	0%	1.1%	0%	0%	91.1%	91.1%	95.6%	95.6%	97.8%	94.4%	80	0	9	1	0	1	0	0	8	8	4	4	2	5	Y	PUBLIC SCHOOL	MEAD SCHOOL DISTRICT	215 W EDDY	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
EVERGREEN FLEX ACADEMY	2015-16	12	75%	0%	25%	0%	0%	0%	0%	0%	75%	75%	100%	100%	100%	100%	9	0	3	0	0	0	0	0	3	3	0	0	0	0	Y	PUBLIC SCHOOL	EVERGREEN SCHOOL DISTRICT (CLARK)	13501 NE 28TH STREET	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	K -12	Y	Y
EVERGREEN FOREST ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	NORTH THURSTON PUBLIC SCHOOLS	3025 MARVIN RD SE	LACEY	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	PK-6	Y	Y
